,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8
2016-5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-6,0,211,122,79,60,54,54,37,18,46,41,35,15,15,13,9
2016-7,0,0,89,36,17,14,11,8,2,8,7,5,2,2,1,0
2016-8,0,0,0,66,39,30,29,21,23,22,21,19,17,16,16,11
2016-9,0,0,0,0,85,68,34,30,29,14,15,17,14,16,16,10
2016-10,0,0,0,0,0,78,55,51,44,48,39,39,34,34,32,23
2016-11,0,0,0,0,0,0,258,118,114,108,99,86,70,74,58,38
2016-12,0,0,0,0,0,0,0,44,22,15,13,8,9,8,7,4
2017-1,0,0,0,0,0,0,0,0,91,59,51,46,43,40,41,22
2017-2,0,0,0,0,0,0,0,0,0,106,58,50,47,41,40,28
2017-3,0,0,0,0,0,0,0,0,0,0,219,47,81,36,36,22
2017-4,0,0,0,0,0,0,0,0,0,0,0,114,57,63,51,34
2017-5,0,0,0,0,0,0,0,0,0,0,0,0,285,202,202,102
2017-6,0,0,0,0,0,0,0,0,0,0,0,0,0,273,186,113
2017-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,92
2017-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
